form	lemma	POS	morph
qui	qui	PROrel	|NOMB.=s||GENRE=m||CAS=n|
l’	il	PROper	|NOMB.=s||GENRE=f||CAS=n|
en	on	PROind	MORPH=empty
seceure	secorre1	VERcjg	|MODE=ind||TEMPS=pst||PERS.=3||NOMB.=s|
,	,	PONfbl	MORPH=empty
Entre	entre2	PRE	MORPH=empty
les	le	DETdef	|NOMB.=p||GENRE=m||CAS=r|
sathanas	satinet	NOMcom	|NOMB.=p||GENRE=m||CAS=r|
qui	qui	PROrel	|NOMB.=p||GENRE=m||CAS=n|
sont	estre1	VERcjg	|MODE=ind||TEMPS=pst||PERS.=3||NOMB.=p|
noir	noir	ADJqua	|NOMB.=p||GENRE=m||CAS=n||DEGRE=p|
comme	come1	CONsub	MORPH=empty
meure	mere	NOMcom	|NOMB.=s||GENRE=f||CAS=r|
.	.	PONfrt	MORPH=empty
8	,	PONfbl	MORPH=empty
Et	et	CONcoo	MORPH=empty
de	de	PRE	MORPH=empty
la	le	DETdef	|NOMB.=s||GENRE=f||CAS=r|
Pleurechante	plauce	NOMcom	|NOMB.=s||GENRE=f||CAS=r|
savez	savoir	VERcjg	|MODE=ind||TEMPS=pst||PERS.=2||NOMB.=p|
que	que2	PROrel	MORPH=empty
senefie	senefiier	VERcjg	|MODE=ind||TEMPS=pst||PERS.=3||NOMB.=s|
?	?	PONfrt	MORPH=empty
Qui	qui	PROrel	|NOMB.=s||GENRE=m||CAS=n|
pleure	plorer	VERcjg	|MODE=ind||TEMPS=pst||PERS.=3||NOMB.=s|
ses	son4	DETpos	|PERS.=3||NOMB.=p||GENRE=m||CAS=r|
pechiez	pechié	NOMcom	|NOMB.=p||GENRE=m||CAS=r|
et	et	CONcoo	MORPH=empty
vers	vers2	PRE	MORPH=empty
Dieu	dieu	NOMcom	|NOMB.=s||GENRE=m||CAS=r|
s’	soi1	PROper	|PERS.=3||NOMB.=s||GENRE=m||CAS=r|
umilie	umelïer	VERcjg	|NOMB.=s||GENRE=f||CAS=r|
.	.	PONfrt	MORPH=empty
L’	le	DETdef	|NOMB.=s||GENRE=f||CAS=r|
arme	ame	NOMcom	|NOMB.=s||GENRE=f||CAS=r|
a	a3	PRE	MORPH=empty
le	le	DETdef	|NOMB.=s||GENRE=m||CAS=r|
gueredon	guerredon	NOMcom	|NOMB.=s||GENRE=m||CAS=r|
quant	cant1	CONsub	MORPH=empty
la	le	DETdef	|NOMB.=s||GENRE=f||CAS=n|
chars	char1	NOMcom	|NOMB.=s||GENRE=f||CAS=n|
ert	estre1	VERcjg	|MODE=ind||TEMPS=ipf||PERS.=3||NOMB.=s|
pourrie	porrir	VERppe	|NOMB.=s||GENRE=f||CAS=n||DEGRE=p|
,	,	PONfbl	MORPH=empty
Ou	en1+le	PRE.DETdef	|NOMB.=s||GENRE=m||CAS=r|
ciel	ciel	NOMcom	|NOMB.=s||GENRE=m||CAS=n|
entre	entre2	PRE	|MODE=ind||TEMPS=pst|
les	le	DETdef	|NOMB.=p||GENRE=m||CAS=r|
angles	angle	NOMcom	|NOMB.=p||GENRE=m||CAS=r|
s’	soi1	PROper	|PERS.=3||NOMB.=s||GENRE=m||CAS=r|
en	en2	PROadv	MORPH=empty
va	aler	VERcjg	|MODE=ind||TEMPS=pst||PERS.=3||NOMB.=s|
toute	tot	ADVgen	|NOMB.=s||GENRE=f||CAS=r|
florie	florir	VERppe	|NOMB.=s||GENRE=f||CAS=r|
.	.	PONfrt	MORPH=empty
12	de	CONsub	MORPH=empty
Lors	lors	ADVgen	DEGRE=-
ne	ne1	ADVneg	MORPH=empty
se	soi1	PROper	|PERS.=3||NOMB.=s||GENRE=m||CAS=r|
puez	pöoir	VERcjg	|MODE=ind||TEMPS=pst||PERS.=2||NOMB.=p|
tenir	tenir1	VERinf	MORPH=empty
qu’	que4	CONsub	MORPH=empty
ele	il	PROper	|PERS.=3||NOMB.=s||GENRE=f||CAS=n|
ne	ne1	ADVneg	MORPH=empty
chant	chandre	VERcjg	|MODE=sub||TEMPS=pst||PERS.=3||NOMB.=s|
et	et	CONcoo	MORPH=empty
rie	rire	VERcjg	|MODE=sub||TEMPS=pst||PERS.=3||NOMB.=s|
.	.	PONfrt	MORPH=empty
Que	que4	CONsub	MORPH=empty
valent	valoir	VERcjg	|MODE=ind||TEMPS=pst||PERS.=3||NOMB.=p|
les	le	DETdef	|NOMB.=p||GENRE=f||CAS=r|
richeces	richece	NOMcom	|NOMB.=p||GENRE=f||CAS=r|
,	,	PONfbl	MORPH=empty
li	le	DETdef	|NOMB.=s||GENRE=m||CAS=n|
avoirs	avoir	NOMcom	|NOMB.=s||GENRE=m||CAS=n|
,	,	PONfbl	MORPH=empty
li	le	DETdef	|NOMB.=p||GENRE=m||CAS=n|
tresors	tresor	NOMcom	|NOMB.=p||GENRE=m||CAS=n|
?	?	PONfrt	MORPH=empty
Tout	tot	ADVgen	DEGRE=-
devenra	devenir	VERcjg	|MODE=ind||TEMPS=fut||PERS.=3||NOMB.=s|
nient	nïent	ADVgen	|NOMB.=s||GENRE=n||CAS=r|
,	,	PONfbl	MORPH=empty
li	le	DETdef	|NOMB.=s||GENRE=m||CAS=n|
argenz	argent	NOMcom	|NOMB.=s||GENRE=m||CAS=n|
et	et	CONcoo	MORPH=empty
li	le	DETdef	|NOMB.=s||GENRE=m||CAS=n|
ors	or1	NOMcom	|NOMB.=s||GENRE=m||CAS=n|
.	.	PONfrt	MORPH=empty
Et	et	CONcoo	MORPH=empty
nous	nos1	PROper	|PERS.=1||NOMB.=p||GENRE=m||CAS=n|
perdrons	perdre	VERcjg	|MODE=ind||TEMPS=fut||PERS.=1||NOMB.=p|
les	le	DETdef	|NOMB.=p||GENRE=m||CAS=r|
anmes	an	NOMcom	|NOMB.=p||GENRE=m||CAS=r|
por	por2	PRE	MORPH=empty
les	le	DETdef	|NOMB.=p||GENRE=m||CAS=r|
delis	delit2	NOMcom	|NOMB.=p||GENRE=m||CAS=r|
des	de+le	PRE.DETdef	|NOMB.=p||GENRE=m||CAS=r|
cors	cors1	NOMcom	|NOMB.=p||GENRE=m||CAS=r|
,	,	PONfbl	MORPH=empty
Nos	nos1	PROper	|PERS.=1||NOMB.=p||GENRE=f||CAS=r|
charongne	charone	NOMcom	|NOMB.=s||GENRE=f||CAS=r|
porrit	porrir	VERcjg	|MODE=ind||PERS.=3||NOMB.=s|
tantost	tantost	ADVgen	DEGRE=-
com	come1	CONsub	MORPH=empty
l’	le	DETdef	|NOMB.=s||GENRE=f||CAS=n|
arme	ame	NOMcom	|NOMB.=s||GENRE=f||CAS=n|
est	estre1	VERcjg	|MODE=ind||TEMPS=pst||PERS.=3||NOMB.=s|
fors	fors1	ADVgen	DEGRE=-
.	.	PONfrt	MORPH=empty
17	de	NOMcom	MORPH=empty
N’	ne1	ADVneg	MORPH=empty
est	estre1	VERcjg	|MODE=ind||TEMPS=pst||PERS.=3||NOMB.=s|
si	si	ADVgen	DEGRE=-
bele	bel1	ADJqua	|NOMB.=s||GENRE=f||CAS=n||DEGRE=p|
jovente	jonete	NOMcom	|NOMB.=s||GENRE=f||CAS=n||DEGRE=p|
ne	ne1	ADVneg	MORPH=empty
covangne	covenir	VERcjg	|PERS.=3||NOMB.=s|
mourir	morir	VERinf	MORPH=empty
Que	que4	CONsub	MORPH=empty
que	que4	CONsub	MORPH=empty
li	le	DETdef	|NOMB.=s||GENRE=m||CAS=n|
cors	cors1	NOMcom	|NOMB.=s||GENRE=m||CAS=n|
deviengne	devenir	VERcjg	|MODE=ind||TEMPS=pst||PERS.=3||NOMB.=s|
,	,	PONfbl	MORPH=empty
l’	le	DETdef	|NOMB.=s||GENRE=f||CAS=n|
arme	ame	NOMcom	|NOMB.=s||GENRE=f||CAS=n|
ne	ne1	ADVneg	MORPH=empty
puet	pöoir	VERcjg	|MODE=ind||TEMPS=pst||PERS.=3||NOMB.=s|
mourir	morir	VERinf	MORPH=empty
.	.	PONfrt	MORPH=empty
Donc	donc	ADVgen	DEGRE=-
di	dire	VERcjg	|MODE=imp||TEMPS=pst||PERS.=1||NOMB.=s|
ge	je	PROper	|PERS.=1||NOMB.=s||GENRE=m||CAS=n|
que	que4	CONsub	MORPH=empty
pour	por2	PRE	MORPH=empty
l’	le	DETdef	|NOMB.=s||GENRE=f||CAS=r|
ame	ame	NOMcom	|NOMB.=s||GENRE=f||CAS=r|
feroit	faire	VERcjg	|MODE=con||PERS.=3||NOMB.=s|
boen	bon	ADJqua	|NOMB.=s||GENRE=m||CAS=r||DEGRE=p|
Dé	dieu	NOMcom	|NOMB.=s||GENRE=m||CAS=r|
servir	servir	VERinf	MORPH=empty
Pour	por2	PRE	MORPH=empty
la	le	DETdef	|NOMB.=s||GENRE=f||CAS=r|
joie	joie	NOMcom	|NOMB.=s||GENRE=f||CAS=r|
de	de	PRE	MORPH=empty
lassus	lassëure	ADVgen	MORPH=empty
qui	qui	PROrel	|NOMB.=s||GENRE=m||CAS=n|
dure	durer	VERcjg	|MODE=ind||TEMPS=pst||PERS.=3||NOMB.=s|
sanz	sans	PRE	MORPH=empty
failir	falir	VERinf	MORPH=empty
.	.	PONfrt	MORPH=empty
21	cinc	PROcar	DEGRE=-
Quar	car	CONcoo	MORPH=empty
la	le	DETdef	|NOMB.=s||GENRE=f||CAS=r|
joie	joie	NOMcom	|NOMB.=s||GENRE=f||CAS=r|
du	de+le	PRE.DETdef	|NOMB.=s||GENRE=m||CAS=r|
siecle	siecle	NOMcom	|NOMB.=s||GENRE=m||CAS=r|
,	,	PONfbl	MORPH=empty
saichez	savoir	VERcjg	|MODE=imp||PERS.=2||NOMB.=p|
,	,	PONfbl	MORPH=empty
mout	mout	ADVgen	DEGRE=-
petit	petit	ADVgen	DEGRE=p
vaut	valoir	VERcjg	|MODE=ind||TEMPS=pst||PERS.=3||NOMB.=s|
Quant	cant1	CONsub	MORPH=empty
miex	mieus	ADVgen	DEGRE=-
i	i2	PROadv	MORPH=empty
cuidons	cuidier1	VERcjg	|MODE=ind||TEMPS=pst||PERS.=1||NOMB.=p|
estre	estre1	VERinf	MORPH=empty
et	et	CONcoo	MORPH=empty
elle	il	PROper	|PERS.=3||NOMB.=s||GENRE=f||CAS=n|
plus	plus	ADVgen	DEGRE=-
tost	tost1	ADVgen	DEGRE=-
faut	falir	VERcjg	|MODE=ind||TEMPS=pst||PERS.=3||NOMB.=s|
.	.	PONfrt	MORPH=empty
Mes	mais1	CONcoo	MORPH=empty
la	le	DETdef	|NOMB.=s||GENRE=f||CAS=r|
joie	joie	NOMcom	|NOMB.=s||GENRE=f||CAS=r|
des	de+le	PRE.DETdef	|NOMB.=p||GENRE=m||CAS=r|
ciex	ciel	NOMcom	|NOMB.=p||GENRE=m||CAS=r|
qui	qui	PROrel	|NOMB.=s||GENRE=m||CAS=n|
est	estre1	VERcjg	|MODE=ind||TEMPS=pst||PERS.=3||NOMB.=s|
lassus	lassus	ADVgen	DEGRE=-
en	en1	PRE	MORPH=empty
haut	haut	ADJqua	|NOMB.=s||GENRE=m||CAS=r||DEGRE=p|
,	,	PONfbl	MORPH=empty
Fu	estre1	VERcjg	|MODE=ind||TEMPS=psp||PERS.=3||NOMB.=s|
et	et	CONcoo	MORPH=empty
iert	estre1	VERcjg	|MODE=ind||TEMPS=fut||PERS.=3||NOMB.=s|
et	et	CONcoo	MORPH=empty
sera	estre1	VERcjg	|MODE=ind||TEMPS=fut||PERS.=3||NOMB.=s|
,	,	PONfbl	MORPH=empty
ne	ne2	CONcoo	MORPH=empty
ja	ja	ADVgen	DEGRE=-
n’	ne1	ADVneg	MORPH=empty
avra	avoir	VERcjg	|MODE=ind||TEMPS=fut||PERS.=3||NOMB.=s|
defaut	defaille1	NOMcom	|NOMB.=s||GENRE=m||CAS=r|
.	.	PONfrt	MORPH=empty
Batons	baston	VERcjg	|NOMB.=p||GENRE=m||CAS=n|
tantdis	tendres	ADVgen	DEGRE=-
le	le	DETdef	|NOMB.=s||GENRE=m||CAS=r|
fer	fer	NOMcom	|NOMB.=s||GENRE=m||CAS=r|
qui	qui	PROrel	|NOMB.=s||GENRE=m||CAS=n|
est	estre1	VERcjg	|MODE=ind||TEMPS=pst||PERS.=3||NOMB.=s|
chauz	chaut	ADJqua	|NOMB.=s||GENRE=m||CAS=n||DEGRE=p|
sus	sus	PRE	MORPH=empty
l’	le	DETdef	|NOMB.=s||GENRE=m||CAS=r|
enclume	enclume	NOMcom	|NOMB.=s||GENRE=f||CAS=r|
S’	si	ADVgen	|PERS.=3||NOMB.=s||GENRE=m||CAS=r|
aprenons	aprendre	VERcjg	|MODE=ind||TEMPS=pst||PERS.=1||NOMB.=p|
a	a3	PRE	MORPH=empty
voler	voler	VERinf	MORPH=empty
ainz	ainz	ADVgen	DEGRE=-
que	que4	CONsub	MORPH=empty
nous	nos1	PROper	|PERS.=1||NOMB.=p||GENRE=m||CAS=i|
faille	falir	VERcjg	|MODE=sub||TEMPS=pst||PERS.=3||NOMB.=s|
plume	plume	NOMcom	|MODE=ind||TEMPS=pst||PERS.=3||NOMB.=s|
.	.	PONfrt	MORPH=empty
Si	si	ADVgen	DEGRE=-
esprenons	esprendre2	VERcjg	|MODE=imp||TEMPS=pst||PERS.=1||NOMB.=p|
le	le	DETdef	|NOMB.=s||GENRE=m||CAS=r|
feu	feu	NOMcom	|NOMB.=s||GENRE=m||CAS=r|
qui	qui	PROrel	|NOMB.=s||GENRE=m||CAS=n|
si	si	ADVgen	DEGRE=-
longuement	longement	ADVgen	DEGRE=-
fume	fumer	VERcjg	|MODE=ind||TEMPS=pst||PERS.=1||NOMB.=s|
,	,	PONfbl	MORPH=empty
Car	car	CONcoo	MORPH=empty
nous	nos1	PROper	|PERS.=1||NOMB.=p||GENRE=m||CAS=n|
ne	ne1	ADVneg	MORPH=empty
voions	vëoir	VERcjg	|MODE=sub||TEMPS=pst||PERS.=1||NOMB.=p|
goute	gote	NOMcom	|NOMB.=s||GENRE=f||CAS=r|
se	se	CONsub	MORPH=empty
Dieus	dieu	NOMcom	|NOMB.=s||GENRE=m||CAS=n|
ne	ne1	ADVneg	MORPH=empty
nous	nos1	PROper	|PERS.=1||NOMB.=p||GENRE=m||CAS=i|
[	[	PONfbl	MORPH=empty
101vb	decviz	NOMcom	DEGRE=-
]	]	PONfbl	MORPH=empty
alume	alumer	VERcjg	|MODE=imp||TEMPS=ipf||PERS.=2||NOMB.=s||GENRE=f|
.	.	PONfrt	MORPH=empty
Nous	nos1	PROper	|PERS.=1||NOMB.=p||GENRE=m||CAS=n|
resanblons	resembler	VERcjg	|MODE=ind||PERS.=1||NOMB.=p|
la	le	DETdef	|NOMB.=s||GENRE=f||CAS=r|
taupe	taupe	NOMcom	|NOMB.=s||GENRE=f||CAS=r|
qui	qui	PROrel	|NOMB.=s||GENRE=f||CAS=n|
oit	öir	VERcjg	|MODE=ind||TEMPS=pst||PERS.=3||NOMB.=s|
et	et	CONcoo	MORPH=empty
pas	pas	ADVneg	MORPH=empty
ne	ne1	ADVneg	MORPH=empty
voit	vëoir	VERcjg	|MODE=ind||TEMPS=pst||PERS.=3||NOMB.=s|
,	,	PONfbl	MORPH=empty
Que	que4	CONsub	MORPH=empty
nous	nos1	PROper	|PERS.=1||NOMB.=p||GENRE=m||CAS=n|
ne	ne1	ADVneg	MORPH=empty
veions	vëoir	VERcjg	|MODE=ind||TEMPS=pst||PERS.=1||NOMB.=p|
goute	gote	NOMcom	|NOMB.=s||GENRE=f||CAS=r|
a	a3	PRE	MORPH=empty
faire	faire	VERinf	|GENRE=x||CAS=x|
nostre	nostre	DETpos	|PERS.=1||NOMB.=s||GENRE=m||CAS=r|
esploit	esploit	NOMcom	|MODE=ind||TEMPS=ipf||PERS.=3||NOMB.=s|
.	.	PONfrt	MORPH=empty
Nous	nos1	PROper	|PERS.=1||NOMB.=p||GENRE=m||CAS=n|
oions	oir	VERcjg	|MODE=sub||TEMPS=pst||PERS.=1||NOMB.=p|
les	le	DETdef	|NOMB.=p||GENRE=m||CAS=r|
sermons	sermon	NOMcom	|NOMB.=p||GENRE=m||CAS=r|
c’	que2	PROrel	|NOMB.=p||CAS=r|
on	on	PROind	|NOMB.=s||GENRE=n||CAS=n|
nos	nos1	PROper	|PERS.=1||NOMB.=p||GENRE=m||CAS=r|
dit	dire	VERcjg	|MODE=ind||TEMPS=pst||PERS.=3||NOMB.=s|
et	et	CONcoo	MORPH=empty
mentoit	mentir	VERcjg	|MODE=ind||TEMPS=ipf||PERS.=3||NOMB.=s|
,	,	PONfbl	MORPH=empty
Se	se	CONsub	MORPH=empty
n’	ne1	ADVneg	MORPH=empty
i	i2	PROadv	MORPH=empty
est	estre1	VERcjg	|MODE=ind||TEMPS=pst||PERS.=3||NOMB.=s|
cil	cel	PROdem	|NOMB.=s||GENRE=m||CAS=n|
ne	ne2	CONcoo	MORPH=empty
cele	cel	PROdem	|NOMB.=s||GENRE=f||CAS=n|
qui	qui	PROrel	|NOMB.=s||GENRE=f||CAS=n|
por	por2	PRE	MORPH=empty
ce	ce1	PROdem	|NOMB.=s||GENRE=n||CAS=r|
s’	soi1	PROper	|PERS.=3||NOMB.=s||GENRE=m||CAS=r|
en	en2	PROadv	MORPH=empty
chatoit	chater	VERcjg	|MODE=ind||TEMPS=ipf||PERS.=3||NOMB.=s|
.	.	PONfrt	MORPH=empty
Cil	cel	PROdem	|NOMB.=s||GENRE=m||CAS=n|
n’	ne1	ADVneg	MORPH=empty
eimme	metre2	VERcjg	|MODE=ind||TEMPS=pst||PERS.=3||NOMB.=s|
mie	mie	ADVneg	MORPH=empty
Dieu	dieu	NOMcom	|NOMB.=s||GENRE=m||CAS=n|
qui	qui	PROrel	|NOMB.=s||GENRE=m||CAS=n|
ne	ne1	ADVneg	MORPH=empty
crient	criembre	VERcjg	|MODE=ind||TEMPS=pst||PERS.=3||NOMB.=p|
et	et	CONcoo	MORPH=empty
doute	doter2	VERcjg	|MODE=ind||TEMPS=pst||PERS.=3||NOMB.=s|
Et	et	CONcoo	MORPH=empty
qui	qui	PROrel	|NOMB.=s||GENRE=m||CAS=n|
n’	ne1	ADVneg	MORPH=empty
i	i2	PROadv	MORPH=empty
met	metre2	VERcjg	|MODE=ind||TEMPS=pst||PERS.=3||NOMB.=s|
son	son4	DETpos	|PERS.=3||NOMB.=s||GENRE=m||CAS=r|
cuer	cuer2	NOMcom	|NOMB.=s||GENRE=m||CAS=r|
et	et	CONcoo	MORPH=empty
sa	son4	DETpos	|PERS.=3||NOMB.=s||GENRE=f||CAS=r|
pensee	pensee	NOMcom	|NOMB.=s||GENRE=f||CAS=r|
toute	tot	ADJind	DEGRE=-
.	.	PONfrt	MORPH=empty
Qui	qui	PROrel	|NOMB.=s||GENRE=m||CAS=n|
est	estre1	VERcjg	|MODE=ind||TEMPS=pst||PERS.=3||NOMB.=s|
en	en1	PRE	MORPH=empty
droit	droit	ADJqua	|NOMB.=s||GENRE=m||CAS=r|
chemin	chemin	NOMcom	|NOMB.=s||GENRE=m||CAS=r|
et	et	CONcoo	MORPH=empty
il	il	PROper	|PERS.=3||NOMB.=s||GENRE=m||CAS=n|
se	soi1	PROper	|PERS.=3||NOMB.=s||GENRE=m||CAS=r|
part	partir	VERcjg	|MODE=sub||TEMPS=pst||PERS.=3||NOMB.=s|
de	de	PRE	MORPH=empty
route	rompre	NOMcom	|NOMB.=s||GENRE=f||CAS=r|
Cil	cel	PROdem	|NOMB.=s||GENRE=m||CAS=n|
resamble	resembler	VERcjg	|MODE=ind||TEMPS=pst||PERS.=3||NOMB.=s|
la	le	DETdef	|NOMB.=s||GENRE=f||CAS=r|
talpe	talent	NOMcom	|NOMB.=s||GENRE=f||CAS=r|
qui	qui	PROrel	|NOMB.=s||GENRE=f||CAS=n|
oit	öir	VERcjg	|MODE=ind||TEMPS=pst||PERS.=3||NOMB.=s|
et	et	CONcoo	MORPH=empty
ne	ne1	ADVneg	MORPH=empty
voit	vëoir	VERcjg	|MODE=ind||TEMPS=pst||PERS.=3||NOMB.=s|
goute	gote	NOMcom	|NOMB.=s||GENRE=f||CAS=r|
.	.	PONfrt	MORPH=empty
Il	il	PROper	|PERS.=3||NOMB.=s||GENRE=m||CAS=n|
n’	ne1	ADVneg	MORPH=empty
est	estre1	VERcjg	|MODE=ind||TEMPS=pst||PERS.=3||NOMB.=s|
ne	ne2	CONcoo	MORPH=empty
cil	cel	PROdem	|NOMB.=s||GENRE=m||CAS=n|
ne	ne2	CONcoo	MORPH=empty
cele	cel	PROdem	|NOMB.=s||GENRE=f||CAS=n|
qui	qui	PROrel	|NOMB.=s||GENRE=m||CAS=n|
ait	avoir	VERcjg	|MODE=sub||TEMPS=pst||PERS.=3||NOMB.=s|
point	point	ADVneg	MORPH=empty
de	de	PRE	MORPH=empty
demein	demain	ADVgen	DEGRE=-
tant	tant	ADVgen	DEGRE=-
comme	come1	CONsub	MORPH=empty
chacuns	chascun	PROind	|NOMB.=s||GENRE=m||CAS=n|
a	avoir	VERcjg	NOMB.=s
le	le	DETdef	|NOMB.=s||GENRE=m||CAS=r|
cuer	cuer2	NOMcom	|NOMB.=s||GENRE=m||CAS=r|
heitié	haitier	VERppe	|NOMB.=s||GENRE=m||CAS=r|
et	et	CONcoo	MORPH=empty
sein	sain	ADJqua	|NOMB.=s||GENRE=m||CAS=n||DEGRE=p|
.	.	PONfrt	MORPH=empty
Devons	devoir	VERcjg	|MODE=ind||TEMPS=pst||PERS.=1||NOMB.=p|
Dieu	dieu	NOMpro	|NOMB.=s||GENRE=m||CAS=r|
apeler	apeler	VERinf	MORPH=empty
et	et	CONcoo	MORPH=empty
a	a3	PRE	MORPH=empty
soir	soir	NOMcom	|NOMB.=s||GENRE=m||CAS=r|
et	et	CONcoo	MORPH=empty
a	a3	PRE	MORPH=empty
mein	main2	NOMcom	|NOMB.=s||GENRE=f||CAS=r|
,	,	PONfbl	MORPH=empty
Laisons	laissier	VERcjg	|MODE=ind||PERS.=1||NOMB.=p|
aler	aler	VERinf	MORPH=empty
la	le	DETdef	|NOMB.=s||GENRE=f||CAS=r|
paille	paile	NOMcom	|NOMB.=s||GENRE=f||CAS=r|
,	,	PONfbl	MORPH=empty
se	soi1	PROper	|GENRE=m||CAS=r|
retenons	retenir	VERcjg	|MODE=ind||TEMPS=pst||PERS.=1||NOMB.=p|
le	le	DETdef	|NOMB.=s||GENRE=m||CAS=r|
grain	grant	ADJqua	|NOMB.=s||GENRE=m||CAS=r||DEGRE=p|
.	.	PONfrt	MORPH=empty
Tant	tant	ADVgen	DEGRE=-
com	come1	CONsub	MORPH=empty
nous	nos1	PROper	|PERS.=1||NOMB.=p||GENRE=m||CAS=n|
soumes	estre1	VERcjg	|MODE=ind||TEMPS=pst||PERS.=1||NOMB.=p|
jone	juene	ADJqua	|NOMB.=s||GENRE=f||CAS=n||DEGRE=p|
nous	nos1	PROper	|PERS.=1||NOMB.=p||GENRE=m||CAS=n|
